"cainjector_cpu","cainjector_memory","certificate_count","certificaterequest_count","controller_cpu","controller_memory","secret_count","secret_size","timestamp","webhook_cpu","webhook_memory"
7,66056192000,1020,605,1478,138670080000,1495,4988330,1712438323,14,32800768000
7,66056192000,1020,614,1431,139100160000,1505,5109731,1712438333,14,32800768000
8,66060288000,1020,623,1916,139886592000,1511,5218036,1712438343,16,32849920000
8,66060288000,1020,632,1916,139886592000,1511,5294879,1712438353,16,32849920000
6,66056192000,1020,639,2594,141119488000,1515,5390729,1712438363,14,32657408000
7,68317184000,1020,648,1129,124653568000,1517,5480059,1712438373,11,32751616000
7,68317184000,1020,655,1129,124653568000,1517,5556898,1712438383,11,32751616000
8,68210688000,1020,662,1133,124669952000,1519,5652139,1712438393,11,32755712000
7,68214784000,1020,671,1192,128237568000,1518,5725706,1712438403,14,32903168000
7,68214784000,1020,678,1192,128237568000,1523,5824828,1712438413,14,32903168000
8,68218880000,1020,686,1271,131788800000,1522,5910249,1712438423,13,32837632000
7,68218880000,1020,693,1059,133767168000,1525,6020548,1712438433,11,32845824000
7,68218880000,1020,701,1059,133767168000,1522,6105308,1712438443,11,32845824000
7,68218880000,1020,707,1059,133767168000,1525,6203837,1712438453,11,32915456000
6,70328320000,1020,713,1899,135876608000,1523,6303699,1712438463,11,32915456000
6,70328320000,1020,722,1899,135876608000,1528,6426513,1712438473,11,32915456000
8,72482816000,1020,730,1284,138121216000,1528,6527012,1712438483,10,33042432000
6,72482816000,1020,737,1217,138178560000,1529,6630787,1712438493,9,32923648000
6,72482816000,1020,745,1217,138178560000,1531,6731939,1712438503,9,32923648000
7,72482816000,1020,752,1350,138338304000,1531,6802875,1712438513,12,32727040000
7,72482816000,1020,758,1045,138469376000,1529,6873174,1712438523,13,32792576000
7,72482816000,1020,767,1045,138469376000,1530,6947390,1712438533,13,32792576000
8,72482816000,1020,774,1045,138469376000,1529,7032811,1712438543,12,32673792000
7,72486912000,1020,782,1067,139616256000,1531,7122105,1712438553,12,32796672000
7,72486912000,1020,788,1067,139616256000,1532,7208119,1712438563,12,32796672000
10,74653696000,1020,796,1282,144494592000,1530,7278426,1712438573,12,32796672000
10,74653696000,1020,802,1047,144961536000,1531,7376286,1712438583,13,32772096000
10,74653696000,1020,812,1047,144961536000,1535,7460342,1712438593,13,32772096000
8,74657792000,1020,817,1901,147226624000,1532,7551029,1712438603,13,32772096000
8,74661888000,1020,825,1059,146964480000,1534,7622622,1712438613,14,32616448000
8,74661888000,1020,833,1059,146964480000,1538,7718504,1712438623,14,32616448000
8,74502144000,1020,841,1058,146903040000,1533,7778963,1712438633,13,32346112000
6,74379264000,1020,848,1000,148828160000,1533,7879474,1712438643,10,32219136000
6,74379264000,1020,856,1000,148828160000,1535,7974691,1712438653,10,32219136000
7,74383360000,1020,863,1000,148828160000,1538,8067277,1712438663,12,32235520000
6,74326016000,1020,872,865,150835200000,1535,8128385,1712438673,11,32264192000
6,74326016000,1020,877,865,150835200000,1536,8214455,1712438683,11,32264192000
8,74649600000,1020,884,1164,150794240000,1533,8281522,1712438693,12,31903744000
7,74563584000,1020,892,1164,150794240000,1535,8364941,1712438703,13,31698944000
7,74563584000,1020,898,1164,150794240000,1534,8438516,1712438713,13,31698944000
7,74563584000,1020,905,1578,151076864000,1533,8488451,1712438723,12,31895552000
6,74563584000,1020,912,1495,153452544000,1534,8533116,1712438733,12,31752192000
